student_id,name,class_name,week,behavior_flag,behavior_category,behavior_note,academic_score
E118,سلطان الحارثي,الصف الثاني,2,0,,,81
E118,سلطان الحارثي,الصف الثاني,3,0,,,86
E118,سلطان الحارثي,الصف الثاني,4,0,,,80
E118,سلطان الحارثي,الصف الثاني,5,0,,,83
E118,سلطان الحارثي,الصف الثاني,6,0,,,86
E119,سارة السعدي,الصف الخامس,1,0,,,74
E119,سارة السعدي,الصف الخامس,2,1,سلوكي,تشتت وانعدام تركيز حاد,73
E119,سارة السعدي,الصف الخامس,3,1,سلوكي,تشتت وانعدام تركيز حاد,70
E119,سارة السعدي,الصف الخامس,4,0,,,67
E119,سارة السعدي,الصف الخامس,5,0,,,64
E119,سارة السعدي,الصف الخامس,6,0,,,61
E120,سلطان سليمان,الصف الثالث,1,0,,,78
E120,سلطان سليمان,الصف الثالث,2,0,,,82
E120,سلطان سليمان,الصف الثالث,3,0,,,83
E120,سلطان سليمان,الصف الثالث,4,0,,,82
E120,سلطان سليمان,الصف الثالث,5,0,,,78
E120,سلطان سليمان,الصف الثالث,6,0,,,83
E121,خالد محمد,الصف الخامس,1,0,,,86
E121,خالد محمد,الصف الخامس,2,0,,,88
E121,خالد محمد,الصف الخامس,3,0,,,87
E121,خالد محمد,الصف الخامس,4,0,,,88
E121,خالد محمد,الصف الخامس,5,0,,,94
E121,خالد محمد,الصف الخامس,6,0,,,92
E122,مريم المعمري,الصف الأول,1,0,,,82
E122,مريم المعمري,الصف الأول,2,0,,,79
E122,مريم المعمري,الصف الأول,3,0,,,80
E122,مريم المعمري,الصف الأول,4,0,,,85
E122,مريم المعمري,الصف الأول,5,1,سلوكي,حركة توتر غير معتادة,84
E122,مريم المعمري,الصف الأول,6,0,,,82
E123,راشد الكندي,الصف الرابع,1,0,,,81
E123,راشد الكندي,الصف الرابع,2,0,,,81
E123,راشد الكندي,الصف الرابع,3,0,,,78
E123,راشد الكندي,الصف الرابع,4,0,,,79
E123,راشد الكندي,الصف الرابع,5,0,,,78
E123,راشد الكندي,الصف الرابع,6,0,,,82
E124,فاطمة العامري,الصف الخامس,1,0,,,95
E124,فاطمة العامري,الصف الخامس,2,1,سلوكي,تشتت وانعدام تركيز حاد,85
E124,فاطمة العامري,الصف الخامس,3,1,سلوكي,تشتت وانعدام تركيز حاد,78
E124,فاطمة العامري,الصف الخامس,4,1,سلوكي,حركة توتر غير معتادة,70
E124,فاطمة العامري,الصف الخامس,5,1,سلوكي,تشتت وانعدام تركيز حاد,64
E124,فاطمة العامري,الصف الخامس,6,1,سلوكي,صعوبة الالتزام بالتعليمات,58
E125,حمد الكيومي,الصف السادس,1,0,,,88
E125,حمد الكيومي,الصف السادس,2,0,,,93
E125,حمد الكيومي,الصف السادس,3,0,,,94
E125,حمد الكيومي,الصف السادس,4,0,,,92
E125,حمد الكيومي,الصف السادس,5,0,,,90
E125,حمد الكيومي,الصف السادس,6,0,,,93
E126,ليان الكندي,الصف الأول,1,0,,,80
E126,ليان الكندي,الصف الأول,2,0,,,79
E126,ليان الكندي,الصف الأول,3,0,,,76
E126,ليان الكندي,الصف الأول,4,0,,,77
E126,ليان الكندي,الصف الأول,5,0,,,77
E126,ليان الكندي,الصف الأول,6,0,,,79
E127,جود سليمان,الصف السادس,1,0,,,96
E127,جود سليمان,الصف السادس,2,0,,,95
E127,جود سليمان,الصف السادس,3,0,,,93
E127,جود سليمان,الصف السادس,4,1,نفسي,حزن ملحوظ ومستمر,90
E127,جود سليمان,الصف السادس,5,0,,,87
E127,جود سليمان,الصف السادس,6,1,نفسي,حزن ملحوظ ومستمر,85
E128,بيان البلوشي,الصف السادس,1,0,,,89
E128,بيان البلوشي,الصف السادس,2,0,,,85
E128,بيان البلوشي,الصف السادس,3,0,,,85
E128,بيان البلوشي,الصف السادس,4,0,,,85
E128,بيان البلوشي,الصف السادس,5,0,,,90
E128,بيان البلوشي,الصف السادس,6,0,,,86
E129,دانة المعمري,الصف الخامس,1,0,,,79
E129,دانة المعمري,الصف الخامس,2,0,,,77
E129,دانة المعمري,الصف الخامس,3,0,,,76
E129,دانة المعمري,الصف الخامس,4,0,,,78
E129,دانة المعمري,الصف الخامس,5,0,,,78
E129,دانة المعمري,الصف الخامس,6,0,,,82
E130,دانة سليمان,الصف السادس,1,0,,,82
E130,دانة سليمان,الصف السادس,2,1,صحي,شكوى متكررة من آلام جسدية,81
E130,دانة سليمان,الصف السادس,3,1,صحي,علامات إعياء وتعب ظاهري,78
E130,دانة سليمان,الصف السادس,4,1,صحي,علامات إعياء وتعب ظاهري,72
E130,دانة سليمان,الصف السادس,5,0,,,71
E130,دانة سليمان,الصف السادس,6,1,صحي,شكوى متكررة من آلام جسدية,67
